SYMBOL,DIGITS,POINT,STOPLEVEL,TICKSIZE,LOTSIZE,TICKVALUE,MINLOT,LOTSTEP,MAXLOT
AUDCAD,5,0.00001,0.00000,0.00001,100000.00000,0.74692,0.01000,0.01000,100.00000
AUDCHF,5,0.00001,0.00000,0.00001,100000.00000,1.07672,0.01000,0.01000,100.00000
AUDJPY,3,0.001,0.000,0.001,100000.000,0.949,0.010,0.010,100.000
AUDNZD,5,0.00001,0.00000,0.00001,100000.00000,0.65474,0.01000,0.01000,100.00000
AUDSGD,5,0.00001,0.00000,0.00001,100000.00000,0.72639,0.01000,0.01000,50.00000
AUDUSD,5,0.00001,0.00000,0.00001,100000.00000,1.00000,0.01000,0.01000,200.00000
AUS200,2,0.01,0.00,0.01,1.00,0.01,1.00,1.00,250.00
BCHUSD,2,0.01,0.00,0.01,1.00,0.01,0.01,0.01,10.00
BRENT_F1,0,0,0,0,100,0,1,1,250
BRENT_G1,0,0,0,0,100,0,1,1,250
BRENT_H1,0,0,0,0,100,0,1,1,250
BRENT_J0,2,0.01,0.00,0.01,100.00,1.00,1.00,1.00,250.00
BRENT_J1,0,0,0,0,100,0,1,1,250
BRENT_K0,2,0.01,0.00,0.01,100.00,1.00,1.00,1.00,250.00
BRENT_K1,0,0,0,0,100,0,1,1,250
BRENT_M0,2,0.01,0.00,0.01,100.00,1.00,1.00,1.00,250.00
BRENT_M1,0,0,0,0,100,0,1,1,250
BRENT_N0,2,0.01,0.00,0.01,100.00,1.00,1.00,1.00,250.00
BRENT_N1,0,0,0,0,100,0,1,1,250
BRENT_Q0,2,0.01,0.00,0.01,100.00,1.00,1.00,1.00,250.00
BRENT_Q1,0,0,0,0,100,0,1,1,250
BRENT_U0,2,0.01,0.00,0.01,100.00,1.00,1.00,1.00,250.00
BRENT_U1,0,0,0,0,100,0,1,1,250
BRENT_V0,2,0.01,0.00,0.01,100.00,1.00,1.00,1.00,250.00
BRENT_V1,0,0,0,0,100,0,1,1,250
BRENT_X0,2,0.01,0.00,0.01,100.00,1.00,1.00,1.00,250.00
BRENT_X1,0,0,0,0,100,0,1,1,250
BRENT_Z1,0,0,0,0,100,0,1,1,250
BTCUSD,2,0.01,0.00,0.01,1.00,0.01,0.01,0.01,10.00
CA60,2,0.01,0.00,0.01,1.00,0.01,1.00,1.00,250.00
CADCHF,5,0.00001,0.00000,0.00001,100000.00000,1.07672,0.01000,0.01000,100.00000
CADJPY,3,0.001,0.000,0.001,100000.000,0.949,0.010,0.010,100.000
CHFJPY,3,0.001,0.000,0.001,100000.000,0.949,0.010,0.010,100.000
CHFSGD,5,0.00001,0.00000,0.00001,100000.00000,0.72639,0.01000,0.01000,50.00000
CHINA50,2,0.01,0.00,0.01,1.00,0.01,1.00,1.00,250.00
CHINAH,2,0.01,0.00,0.01,1.00,0.00,1.00,1.00,250.00
Cocoa_H1,0,0,0,1,1,0,1,1,250
Cocoa_K0,0,1,0,1,1,1,1,1,250
Cocoa_K1,0,0,0,1,1,0,1,1,250
Cocoa_N0,0,1,0,1,1,1,1,1,250
Cocoa_N1,0,0,0,1,1,0,1,1,250
Cocoa_U0,0,1,0,1,1,1,1,1,250
Cocoa_U1,0,0,0,1,1,0,1,1,250
Cocoa_Z0,0,1,0,1,1,1,1,1,250
Cocoa_Z1,0,0,0,1,1,0,1,1,250
Coffee_H1,0,0,0,0,10,0,1,1,250
Coffee_K0,2,0.01,0.00,0.01,10.00,0.10,1.00,1.00,250.00
Coffee_K1,0,0,0,0,10,0,1,1,250
Coffee_N0,2,0.01,0.00,0.01,10.00,0.10,1.00,1.00,250.00
Coffee_N1,0,0,0,0,10,0,1,1,250
Coffee_U0,2,0.01,0.00,0.01,10.00,0.10,1.00,1.00,250.00
Coffee_U1,0,0,0,0,10,0,1,1,250
Coffee_Z0,2,0.01,0.00,0.01,10.00,0.10,1.00,1.00,250.00
Coffee_Z1,0,0,0,0,10,0,1,1,250
Corn_H1,0,0,0,0,4,0,1,1,250
Corn_K0,2,0.01,0.00,0.01,4.00,0.04,1.00,1.00,250.00
Corn_K1,0,0,0,0,4,0,1,1,250
Corn_N0,2,0.01,0.00,0.01,4.00,0.04,1.00,1.00,250.00
Corn_N1,0,0,0,0,4,0,1,1,250
Corn_U0,2,0.01,0.00,0.01,4.00,0.04,1.00,1.00,250.00
Corn_U1,0,0,0,0,4,0,1,1,250
Corn_Z0,2,0.01,0.00,0.01,4.00,0.04,1.00,1.00,250.00
Corn_Z1,0,0,0,0,4,0,1,1,250
Cotton_H1,0,0,0,0,100,0,1,1,250
Cotton_K0,2,0.01,0.00,0.01,100.00,1.00,1.00,1.00,250.00
Cotton_K1,0,0,0,0,100,0,1,1,250
Cotton_N0,2,0.01,0.00,0.01,100.00,1.00,1.00,1.00,250.00
Cotton_N1,0,0,0,0,100,0,1,1,250
Cotton_Z0,2,0.01,0.00,0.01,100.00,1.00,1.00,1.00,250.00
Cotton_Z1,0,0,0,0,100,0,1,1,250
DE30,2,0.01,0.00,0.01,1.00,0.01,1.00,1.00,250.00
DSHUSD,2,0.01,0.00,0.01,1.00,0.01,0.01,0.01,10.00
DXY_H0,3,0.001,0.000,0.001,100.000,0.100,1.000,1.000,250.000
DXY_H1,0,0,0,0,100,0,1,1,250
DXY_M0,3,0.001,0.000,0.001,100.000,0.100,1.000,1.000,250.000
DXY_M1,0,0,0,0,100,0,1,1,250
DXY_U0,3,0.001,0.000,0.001,100.000,0.100,1.000,1.000,250.000
DXY_U1,0,0,0,0,100,0,1,1,250
DXY_Z0,0,0,0,0,100,0,1,1,250
DXY_Z1,0,0,0,0,100,0,1,1,250
EMCUSD,4,0.0001,0.0000,0.0001,1.0000,0.0001,1.0000,0.0100,100.0000
EOSUSD,4,0.0001,0.0000,0.0001,1.0000,0.0001,1.0000,0.0100,100.0000
ES35,2,0.01,0.00,0.01,1.00,0.01,1.00,1.00,250.00
ETHUSD,2,0.01,0.00,0.01,1.00,0.01,0.01,0.01,10.00
EURAUD,5,0.00001,0.00000,0.00001,100000.00000,0.70406,0.01000,0.01000,100.00000
EURBOBL_H1,0,0,0,0,100,0,1,1,100
EURBOBL_M0,2,0.01,0.00,0.01,100.00,1.16,1.00,1.00,100.00
EURBOBL_M1,0,0,0,0,100,0,1,1,100
EURBOBL_U0,2,0.01,0.00,0.01,100.00,1.16,1.00,1.00,100.00
EURBOBL_U1,0,0,0,0,100,0,1,1,100
EURBOBL_Z0,2,0.01,0.00,0.01,100.00,1.16,1.00,1.00,100.00
EURBOBL_Z1,0,0,0,0,100,0,1,1,100
EURBUND_H1,0,0,0,0,100,0,1,1,100
EURBUND_M0,2,0.01,0.00,0.01,100.00,1.16,1.00,1.00,100.00
EURBUND_M1,0,0,0,0,100,0,1,1,100
EURBUND_U0,2,0.01,0.00,0.01,100.00,1.16,1.00,1.00,100.00
EURBUND_U1,0,0,0,0,100,0,1,1,100
